ts	phase	decision	why	evidence	result
2026-09-05T02:37:40Z	frame	found MVP on cursor/read-to-me-app-bbd6 not empty main	main is a stub README; the app lives on the prior agent branch	origin/cursor/read-to-me-app-bbd6 @ 9d57955, PR 1	open
2026-09-05T02:40:44Z	frame	desktop Electron pill is the product; src Next.js is a frozen experiment	README already says this; ARCHITECTURE still describes a side panel and speechSynthesis which the code does not use	README.md:99-101 docs/ARCHITECTURE.md:14-27	open
2026-09-05T02:40:44Z	frame	definition of done: npm --prefix desktop run check exits 0 on Linux without Electron; CI runs it; ARCHITECTURE and AGENTS match live say plus highlight overlay; web app is labeled frozen	future agents copy whatever is in the repo; gates beat more prose	falsifiable via desktop npm run check and .github/workflows/check.yml	open
2026-09-05T02:40:44Z	design	skip TypeScript rewrite and main.cjs split; skip deleting src/	smallest change that fortifies; deleting web is a one-way door the user did not ask for; split without tests is a regression risk	principle laziness-protocol	skip: shape already concrete
2026-09-05T02:40:44Z	design	skip architect/arena	product shape is already decided in README; remaining work is mechanical gates and doc truth	docs/ARCHITECTURE.md vs desktop/lib/tts.cjs speakLive	skip: not a one-way door
2026-09-05T02:43:21Z	harness	npm --prefix desktop run check is green on Linux without Electron	OCR layout, TTS reflow/chunk, and API contract must fail in CI if they regress	11 tests pass, check-api-contract.cjs passed	VERIFIED
2026-09-05T02:43:52Z	unit	landed node:test for ocr-layout and tts	orphaned check-ocr-layout.cjs never ran in npm	commit e84ed93, npm --prefix desktop run check	VERIFIED
2026-09-05T02:43:52Z	ci	added GitHub Actions check.yml and retargeted root npm start to desktop	future agents were one npm start away from the frozen Next app	commit b0174b0 .github/workflows/check.yml	open
2026-09-05T02:43:52Z	docs	rewrote ARCHITECTURE and AGENTS to match live say; froze src/	stale docs would send the next engineer into the wrong tree	commit 583c791 docs/ARCHITECTURE.md AGENTS.md src/README.md	open
2026-09-05T02:47:46Z	critique	keep src frozen; do not extract FollowController or bind sourceId in this PR	window identity and follow races need Mac proof; a Linux-only rewrite would paper over them	how critic grok, transcript last bug 9d57955	open
2026-09-05T02:47:46Z	critique	encode read result keys and document highlight/scroll ignore sourceId	contract already caught name drift; next cheap gate is payload keys plus true docs	desktop/api-contract.json readResultKeys, docs/ARCHITECTURE.md gotchas	open
2026-09-05T02:48:24Z	ci	GitHub Actions check passed on 70a3a8d and 8dbedb1	same command as npm --prefix desktop run check	https://github.com/Techniclee22/Main-github/actions	VERIFIED
2026-09-05T02:48:36Z	ci	GitHub Actions check passed on c4b152b	PR 2 head, npm run check in desktop	run 33940092908	VERIFIED
2026-09-05T02:52:43Z	critique	unlink only the say file this spawn owned; keep successor tempfile	previous close handler deleted liveSayTempFile after retarget, which matches speech stopping mid-page	desktop/lib/tts.cjs unlinkOwnedSayFile	code review, not Mac retest
2026-09-05T02:52:43Z	critique	reject column split when the page center is busy; return word boxes on read	full-width prose was splitting; highlight cannot recover dropped boxes	ocr-layout.test.cjs full-width prose, readWindowSource words	VERIFIED
2026-09-05T02:53:29Z	ci	GitHub Actions check passed on 83b89f0	latest foundation head	run success for 83b89f05174d72d92c3b0732d5b88d649fdeb973	VERIFIED
2026-09-05T02:54:28Z	critique	skip moving ReadingSession into main on this PR	four critics agree the session is in the wrong process; the move rewrites pill.js and the contract together	how critic fable S1, already deferred S2/S3 follow-up	skip: needs Mac and a dedicated PR
2026-09-05T02:54:28Z	docs	document per-sentence say and unreachable neural on the Read path	ARCHITECTURE still showed one speakLive for the whole page	docs/ARCHITECTURE.md sequence diagram	open
2026-09-05T02:58:51Z	critique	scope readResultKeys to the readWindowSource function body	whole-file `text:` matched Tesseract `{ text: true }`; dropping the real return still passed	desktop/scripts/check-api-contract.cjs extractNamedFunction, desktop/scripts/check-api-contract.test.cjs	VERIFIED
2026-09-05T02:58:51Z	ci	pin Node 22; Node 20 reached EOL 2026-04-30	local host is v22.14.0; pinning 20 in a new workflow was unlogged	.nvmrc, desktop/package.json engines >=22	open until CI on this head
2026-09-05T02:58:51Z	docs	keep git pull --ff-only; print stash/reset/checkout-main on failure	reset --hard would wipe a dirty clone; npm install can rewrite desktop/package-lock.json	update-and-run.sh, README.md troubleshooting	open
2026-09-05T02:58:51Z	frame	keep shipping on the feature branch until PR 1 merges; document the main migration	row 1 is still true; clones on cursor/read-to-me-app-bbd6 break if that branch is deleted after merge	README.md first-time setup, PR 1 still open	open: blocked on PR 1
2026-09-05T02:58:51Z	frame	speechSynthesis is the live-say failure fallback, not unused	row 2 was wrong; desktop/renderer/speech.js still calls it on say failure	8dbedb1 docs/ARCHITECTURE.md, desktop/renderer/speech.js	supersedes row 2
2026-09-05T02:58:51Z	docs	update-and-run no longer pins or reset-hards cursor/read-to-me-app-bbd6	row 9 omitted the script; ff-only is the tradeoff logged above	583c791 update-and-run.sh, AGENTS.md	supersedes row 9 evidence gap
2026-09-05T02:58:51Z	frame	definition of done: Linux check, CI, docs match live say plus band, web frozen	(a)(b) covered by check.yml and later CI rows; (c) after 3756648 plus this docs pass; Mac retest of tempfile still outstanding	npm --prefix desktop run check, docs/ARCHITECTURE.md, AGENTS.md, src/README.md	VERIFIED except Mac retest
